time,wind_speed_100m,wind_speed_10m,wind_direction_100m,wind_gusts_10m,temperature_2m,surface_pressure
2022-11-24 00:00:00,1.18,1.3,318,4.1,2.3,900.1
2022-11-24 01:00:00,1.45,1.53,298,4.7,1.2,899.7
2022-11-24 02:00:00,1.41,1.75,304,5.0,0.5,899.7
2022-11-24 03:00:00,1.58,1.82,300,5.4,-0.4,899.8
2022-11-24 04:00:00,1.89,1.92,291,5.2,0.0,900.3
2022-11-24 05:00:00,2.27,2.02,277,5.8,0.7,900.4
2022-11-24 06:00:00,2.46,2.02,275,7.1,1.1,900.4
2022-11-24 07:00:00,2.26,1.92,275,6.1,1.2,900.2
2022-11-24 08:00:00,2.02,1.8,284,6.2,1.5,900.8
2022-11-24 09:00:00,1.43,1.12,344,6.0,3.2,902.2
2022-11-24 10:00:00,0.89,0.5,354,4.3,5.6,902.7
2022-11-24 11:00:00,0.14,0.1,315,3.4,6.6,902.7
2022-11-24 12:00:00,0.71,0.45,214,3.5,7.3,901.8
2022-11-24 13:00:00,0.9,0.64,229,4.1,8.3,901.2
2022-11-24 14:00:00,1.11,0.86,225,4.1,9.0,900.9
2022-11-24 15:00:00,2.09,1.65,281,2.8,9.5,902.3
2022-11-24 16:00:00,2.29,1.72,301,3.8,8.8,902.2
2022-11-24 17:00:00,1.94,1.08,311,3.8,6.9,902.3
2022-11-24 18:00:00,1.39,1.3,278,3.8,4.6,902.3
2022-11-24 19:00:00,1.98,1.97,250,6.4,2.3,902.5
2022-11-24 20:00:00,2.48,2.19,252,7.9,1.7,902.5
2022-11-24 21:00:00,2.48,2.12,261,8.6,1.5,903.1
2022-11-24 22:00:00,2.95,2.38,255,7.8,1.4,902.9
2022-11-24 23:00:00,3.26,2.47,254,7.5,1.4,902.8
2022-11-25 00:00:00,3.23,2.56,256,8.2,1.6,902.4
2022-11-25 01:00:00,3.28,2.56,253,8.7,1.6,902.1
2022-11-25 02:00:00,3.41,2.6,252,8.9,1.6,902.3
2022-11-25 03:00:00,4.09,2.82,249,10.0,2.2,902.7
2022-11-25 04:00:00,4.5,2.92,250,11.4,2.9,902.7
2022-11-25 05:00:00,4.55,2.92,251,11.5,3.1,902.1
2022-11-25 06:00:00,4.5,2.82,250,11.6,3.3,902.1
